source_metric,metric,category,definition,unit,input_signals,preprocessing,key_parameters,implementation_type,source_function_or_package,role_in_revision,minimum_evaluable_n,n_Pre,n_Stim,n_Post,n_Stim_Pre,n_Post_Pre,n_Post_Stim,Pre_mean,Pre_SD,Stim_mean,Stim_SD,Post_mean,Post_SD,Stim_Pre_mean_difference,dz_Stim_Pre,p_Stim_Pre,p_FDR_Stim_Pre,BF10_Stim_Pre,BF_n_Stim_Pre,BF_model_Stim_Pre,BF_cauchy_scale_Stim_Pre,BF_raw_source_Stim_Pre,BF01_Stim_Pre,Post_Pre_mean_difference,dz_Post_Pre,p_Post_Pre,p_FDR_Post_Pre,BF01_Post_Pre,Post_Stim_mean_difference,dz_Post_Stim,p_Post_Stim,p_FDR_Post_Stim,Friedman_chi2,Friedman_p,estimability_status,Reliability_flag,retention_location,analysis_source,NA_reason,definition_source,unit_source
DC,DC,BPRSA,RRI deceleration capacity from beat-to-beat phase-rectified signal averaging,ms,RRI,native beat-to-beat RRI; phase-rectified signal averaging,project-specific BPRSA settings documented in archived code,project-specific implementation using standard scientific-computing functions,analysis_51_bei_bprsa.py::compute_bprsa,exploratory_panel_only,18,18,18,18,18,18,18,11.46,6.32,12.87,7,10.76,6.03,1.41,0.49,0.0539,0.248,1.35374,18,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,0.738692,-0.7,-0.29,0.229,0.701,2.14,-2.11,-0.61,0.0268,0.706,NA,NA,estimable_all_18,exploratory_panel_only,SI_only,exploratory_coupling_panel,not available in authoritative submitted summary or revised central reanalysis: Friedman_chi2;Friedman_p,analysis_51_bei_bprsa.py::compute_bprsa,analysis_51_bei_bprsa.py::compute_bprsa
DC_AC_ratio,DC_AC_ratio,BPRSA,Ratio of RRI deceleration capacity to acceleration capacity,dimensionless ratio,RRI,native beat-to-beat RRI; phase-rectified signal averaging,project-specific BPRSA settings documented in archived code,project-specific implementation using standard scientific-computing functions,analysis_51_bei_bprsa.py::compute_bprsa,exploratory_panel_only,18,18,18,18,18,18,18,-1.01,0.14,-1.05,0.12,-0.94,0.24,-0.04,-0.33,0.181,0.556,0.549193,18,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,1.82085,0.07,0.27,0.417,0.767,2.33,0.11,0.42,0.0898,0.706,NA,NA,estimable_all_18,exploratory_panel_only,SI_only,exploratory_coupling_panel,not available in authoritative submitted summary or revised central reanalysis: Friedman_chi2;Friedman_p,analysis_51_bei_bprsa.py::compute_bprsa,analysis_51_bei_bprsa.py::compute_bprsa
GC_F_BP_to_RRI,GC_F_BP_to_RRI,Bivariate Granger Causality,Bivariate VAR F statistic testing past SBP -> RRI terms,dimensionless F statistic (standardized 4-Hz series),RRI; SBP,exploratory phase-specific 4-Hz interpolated and standardized RRI/SBP series,exploratory model-based panel; distinct from focused native paired-beat VAR; diagnostic limitations apply,project-specific implementation using standard scientific-computing functions,exploratory 4-Hz bivariate VAR implementation,exploratory_directionality_or_model_decomposition,18,18,18,18,18,18,18,6.76,NA,10.16,NA,7.65,NA,3.4,0.77,0.004,0.0368,10.2888,18,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,0.0971929,0.89,0.25,0.325,0.72,2.52,-2.51,NA,NA,NA,NA,NA,estimable_all_18,exploratory_directionality_diagnostic_limitations,SI_only,exploratory_coupling_panel,not available in authoritative submitted summary or revised central reanalysis: Pre_SD;Stim_SD;Post_SD;dz_Post_Stim;p_Post_Stim;p_FDR_Post_Stim;Friedman_chi2;Friedman_p,exploratory 4-Hz bivariate VAR implementation,exploratory 4-Hz bivariate VAR implementation
GC_F_RRI_to_SBP,GC_F_RRI_to_SBP,Bivariate Granger Causality,Bivariate VAR F statistic testing past RRI -> SBP terms,dimensionless F statistic (standardized 4-Hz series),RRI; SBP,exploratory phase-specific 4-Hz interpolated and standardized RRI/SBP series,exploratory model-based panel; distinct from focused native paired-beat VAR; diagnostic limitations apply,project-specific implementation using standard scientific-computing functions,exploratory 4-Hz bivariate VAR implementation,exploratory_directionality_or_model_decomposition,18,18,18,18,18,18,18,23.32,NA,27.46,NA,26.41,NA,4.14,0.69,0.0182,0.14,5.41774,18,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,0.184579,3.09,0.36,0.108,0.384,1.54,-1.05,NA,NA,NA,NA,NA,estimable_all_18,exploratory_directionality_diagnostic_limitations,SI_only,exploratory_coupling_panel,not available in authoritative submitted summary or revised central reanalysis: Pre_SD;Stim_SD;Post_SD;dz_Post_Stim;p_Post_Stim;p_FDR_Post_Stim;Friedman_chi2;Friedman_p,exploratory 4-Hz bivariate VAR implementation,exploratory 4-Hz bivariate VAR implementation
SGC_RRI_to_SBP_HF,SGC_RRI_to_SBP_HF,Spectral GC,Frequency-integrated Geweke spectral Granger-causality log ratio for the named direction and band,Hz (integrated dimensionless log ratio),RRI; SBP,exploratory phase-specific 4-Hz interpolated and standardized RRI/SBP series,exploratory model-based panel; distinct from focused native paired-beat VAR; diagnostic limitations apply,project-specific implementation using standard scientific-computing functions,analysis_52_spectral_gc.py::compute_spectral_gc,exploratory_directionality_or_model_decomposition,18,18,18,18,18,18,18,0.18,0.1,0.2,0.12,0.17,0.1,0.02,0.26,0.495,0.759,0.416982,18,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,2.39818,-0.01,-0.14,0.58,0.949,3.52,-0.03,-0.33,0.346,0.833,NA,NA,estimable_all_18,exploratory_directionality_diagnostic_limitations,SI_only,exploratory_coupling_panel,not available in authoritative submitted summary or revised central reanalysis: Friedman_chi2;Friedman_p,analysis_52_spectral_gc.py::compute_spectral_gc,analysis_52_spectral_gc.py::compute_spectral_gc
SGC_RRI_to_SBP_LF,SGC_RRI_to_SBP_LF,Spectral GC,Frequency-integrated Geweke spectral Granger-causality log ratio for the named direction and band,Hz (integrated dimensionless log ratio),RRI; SBP,exploratory phase-specific 4-Hz interpolated and standardized RRI/SBP series,exploratory model-based panel; distinct from focused native paired-beat VAR; diagnostic limitations apply,project-specific implementation using standard scientific-computing functions,analysis_52_spectral_gc.py::compute_spectral_gc,exploratory_directionality_or_model_decomposition,18,18,18,18,18,18,18,0.07,0.03,0.07,0.03,0.07,0.04,0,-0.1,0.766,0.903,0.261803,18,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,3.81967,0,-0.17,0.523,0.9,3.27,0,-0.05,0.966,1,NA,NA,estimable_all_18,exploratory_directionality_diagnostic_limitations,SI_only,exploratory_coupling_panel,not available in authoritative submitted summary or revised central reanalysis: Friedman_chi2;Friedman_p,analysis_52_spectral_gc.py::compute_spectral_gc,analysis_52_spectral_gc.py::compute_spectral_gc
SGC_RRI_to_SBP_Mayer,SGC_RRI_to_SBP_Mayer,Spectral GC,Frequency-integrated Geweke spectral Granger-causality log ratio for the named direction and band,Hz (integrated dimensionless log ratio),RRI; SBP,exploratory phase-specific 4-Hz interpolated and standardized RRI/SBP series,exploratory model-based panel; distinct from focused native paired-beat VAR; diagnostic limitations apply,project-specific implementation using standard scientific-computing functions,analysis_52_spectral_gc.py::compute_spectral_gc,exploratory_directionality_or_model_decomposition,18,18,18,18,18,18,18,0.03,0.01,0.02,0.01,0.02,0.01,-0.01,-0.24,0.393,0.759,0.377779,18,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,2.64705,-0.01,-0.26,0.369,0.72,2.42,0,0,1,1,NA,NA,estimable_all_18,exploratory_directionality_diagnostic_limitations,SI_only,exploratory_coupling_panel,not available in authoritative submitted summary or revised central reanalysis: Friedman_chi2;Friedman_p,analysis_52_spectral_gc.py::compute_spectral_gc,analysis_52_spectral_gc.py::compute_spectral_gc
SGC_RRI_to_SBP_VLF,SGC_RRI_to_SBP_VLF,Spectral GC,Frequency-integrated Geweke spectral Granger-causality log ratio for the named direction and band,Hz (integrated dimensionless log ratio),RRI; SBP,exploratory phase-specific 4-Hz interpolated and standardized RRI/SBP series,exploratory model-based panel; distinct from focused native paired-beat VAR; diagnostic limitations apply,project-specific implementation using standard scientific-computing functions,analysis_52_spectral_gc.py::compute_spectral_gc,exploratory_directionality_or_model_decomposition,18,18,18,18,18,18,18,0.01,0.01,0.01,0.01,0.01,0.01,0,-0.02,1,1,0.24359,18,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,4.10526,0,0.19,0.325,0.72,3.09,0,0.37,0.265,0.833,NA,NA,estimable_all_18,exploratory_directionality_diagnostic_limitations,SI_only,exploratory_coupling_panel,not available in authoritative submitted summary or revised central reanalysis: Friedman_chi2;Friedman_p,analysis_52_spectral_gc.py::compute_spectral_gc,analysis_52_spectral_gc.py::compute_spectral_gc
SGC_RRI_to_SBP_total,SGC_RRI_to_SBP_total,Spectral GC,Frequency-integrated Geweke spectral Granger-causality log ratio for the named direction and band,Hz (integrated dimensionless log ratio),RRI; SBP,exploratory phase-specific 4-Hz interpolated and standardized RRI/SBP series,exploratory model-based panel; distinct from focused native paired-beat VAR; diagnostic limitations apply,project-specific implementation using standard scientific-computing functions,analysis_52_spectral_gc.py::compute_spectral_gc,exploratory_directionality_or_model_decomposition,18,18,18,18,18,18,18,0.67,0.31,0.77,0.45,0.67,0.38,0.1,0.3,0.393,0.759,0.489492,18,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,2.04294,0,0,0.865,0.963,4.11,-0.1,-0.29,0.495,0.833,NA,NA,estimable_all_18,exploratory_directionality_diagnostic_limitations,SI_only,exploratory_coupling_panel,not available in authoritative submitted summary or revised central reanalysis: Friedman_chi2;Friedman_p,analysis_52_spectral_gc.py::compute_spectral_gc,analysis_52_spectral_gc.py::compute_spectral_gc
SGC_SBP_to_RRI_HF,SGC_SBP_to_RRI_HF,Spectral GC,Frequency-integrated Geweke spectral Granger-causality log ratio for the named direction and band,Hz (integrated dimensionless log ratio),RRI; SBP,exploratory phase-specific 4-Hz interpolated and standardized RRI/SBP series,exploratory model-based panel; distinct from focused native paired-beat VAR; diagnostic limitations apply,project-specific implementation using standard scientific-computing functions,analysis_52_spectral_gc.py::compute_spectral_gc,exploratory_directionality_or_model_decomposition,18,18,18,18,18,18,18,0.08,0.03,0.08,0.04,0.06,0.03,0,0.07,0.899,0.961,0.253408,18,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,3.94621,-0.02,-0.49,0.0599,0.344,0.73,-0.02,-0.49,0.0814,0.706,NA,NA,estimable_all_18,exploratory_directionality_diagnostic_limitations,SI_only,exploratory_coupling_panel,not available in authoritative submitted summary or revised central reanalysis: Friedman_chi2;Friedman_p,analysis_52_spectral_gc.py::compute_spectral_gc,analysis_52_spectral_gc.py::compute_spectral_gc
SGC_SBP_to_RRI_LF,SGC_SBP_to_RRI_LF,Spectral GC,Frequency-integrated Geweke spectral Granger-causality log ratio for the named direction and band,Hz (integrated dimensionless log ratio),RRI; SBP,exploratory phase-specific 4-Hz interpolated and standardized RRI/SBP series,exploratory model-based panel; distinct from focused native paired-beat VAR; diagnostic limitations apply,project-specific implementation using standard scientific-computing functions,analysis_52_spectral_gc.py::compute_spectral_gc,exploratory_directionality_or_model_decomposition,18,18,18,18,18,18,18,0.02,0.01,0.03,0.02,0.03,0.02,0.01,0.41,0.246,0.629,0.85332,18,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,1.17189,0.01,0.66,0.0159,0.218,0.23,0,0.06,0.734,0.933,NA,NA,estimable_all_18,exploratory_directionality_diagnostic_limitations,SI_only,exploratory_coupling_panel,not available in authoritative submitted summary or revised central reanalysis: Friedman_chi2;Friedman_p,analysis_52_spectral_gc.py::compute_spectral_gc,analysis_52_spectral_gc.py::compute_spectral_gc
SGC_SBP_to_RRI_Mayer,SGC_SBP_to_RRI_Mayer,Spectral GC,Frequency-integrated Geweke spectral Granger-causality log ratio for the named direction and band,Hz (integrated dimensionless log ratio),RRI; SBP,exploratory phase-specific 4-Hz interpolated and standardized RRI/SBP series,exploratory model-based panel; distinct from focused native paired-beat VAR; diagnostic limitations apply,project-specific implementation using standard scientific-computing functions,analysis_52_spectral_gc.py::compute_spectral_gc,exploratory_directionality_or_model_decomposition,18,18,18,18,18,18,18,0.01,0.01,0.01,0.01,0.01,0.01,0,0.36,0.495,0.759,0.648041,18,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,1.54311,0,0.61,0.0304,0.233,0.32,0,0.1,0.442,0.833,NA,NA,estimable_all_18,exploratory_directionality_diagnostic_limitations,SI_only,exploratory_coupling_panel,not available in authoritative submitted summary or revised central reanalysis: Friedman_chi2;Friedman_p,analysis_52_spectral_gc.py::compute_spectral_gc,analysis_52_spectral_gc.py::compute_spectral_gc
SGC_SBP_to_RRI_VLF,SGC_SBP_to_RRI_VLF,Spectral GC,Frequency-integrated Geweke spectral Granger-causality log ratio for the named direction and band,Hz (integrated dimensionless log ratio),RRI; SBP,exploratory phase-specific 4-Hz interpolated and standardized RRI/SBP series,exploratory model-based panel; distinct from focused native paired-beat VAR; diagnostic limitations apply,project-specific implementation using standard scientific-computing functions,analysis_52_spectral_gc.py::compute_spectral_gc,exploratory_directionality_or_model_decomposition,18,18,18,18,18,18,18,0.01,0.01,0.01,0.01,0.01,0.01,0,0.04,0.932,0.975,0.246685,18,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,4.05375,0,-0.04,0.64,0.949,4.06,0,-0.06,0.766,0.933,NA,NA,estimable_all_18,exploratory_directionality_diagnostic_limitations,SI_only,exploratory_coupling_panel,not available in authoritative submitted summary or revised central reanalysis: Friedman_chi2;Friedman_p,analysis_52_spectral_gc.py::compute_spectral_gc,analysis_52_spectral_gc.py::compute_spectral_gc
SGC_SBP_to_RRI_total,SGC_SBP_to_RRI_total,Spectral GC,Frequency-integrated Geweke spectral Granger-causality log ratio for the named direction and band,Hz (integrated dimensionless log ratio),RRI; SBP,exploratory phase-specific 4-Hz interpolated and standardized RRI/SBP series,exploratory model-based panel; distinct from focused native paired-beat VAR; diagnostic limitations apply,project-specific implementation using standard scientific-computing functions,analysis_52_spectral_gc.py::compute_spectral_gc,exploratory_directionality_or_model_decomposition,18,18,18,18,18,18,18,0.39,0.19,0.49,0.42,0.35,0.2,0.1,0.26,0.734,0.888,0.409927,18,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,2.43946,-0.04,-0.34,0.108,0.384,1.7,-0.14,-0.37,0.141,0.725,NA,NA,estimable_all_18,exploratory_directionality_diagnostic_limitations,SI_only,exploratory_coupling_panel,not available in authoritative submitted summary or revised central reanalysis: Friedman_chi2;Friedman_p,analysis_52_spectral_gc.py::compute_spectral_gc,analysis_52_spectral_gc.py::compute_spectral_gc
GC3_F_PTT_to_RRI,GC3_F_PAT_to_RRI,Trivariate GC,Trivariate VAR F statistic for the named direction while controlling the third standardized variable,dimensionless F statistic (standardized 4-Hz series),RRI; SBP; PAT,exploratory phase-specific 4-Hz interpolated and standardized RRI/SBP/PAT series; PAT QC exclusions applied,exploratory trivariate model; PAT includes pre-ejection period; diagnostic limitations apply,project-specific implementation using standard scientific-computing functions,analysis_54_trivariate_ptt.py::compute_trivariate_gc,exploratory_directionality_or_model_decomposition,16,16,16,16,16,16,16,3.16,4.44,2.95,5.2,4.34,5.38,-0.21,-0.19,0.404,0.759,0.325197,16,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,3.07506,1.18,0.34,0.528,0.9,1.8,1.39,0.34,0.0833,0.706,NA,NA,limited_estimability,exploratory_directionality_diagnostic_limitations;PAT_QC_excluded_S13_S16_all_beat_abs_PAT_lt_1e-6_ms,SI_only,exploratory_coupling_panel,not available in authoritative submitted summary or revised central reanalysis: Friedman_chi2;Friedman_p; PAT_QC_excluded_S13_S16_all_beat_abs_PAT_lt_1e-6_ms,analysis_54_trivariate_ptt.py::compute_trivariate_gc,analysis_54_trivariate_ptt.py::compute_trivariate_gc
GC3_F_PTT_to_SBP,GC3_F_PAT_to_SBP,Trivariate GC,Trivariate VAR F statistic for the named direction while controlling the third standardized variable,dimensionless F statistic (standardized 4-Hz series),RRI; SBP; PAT,exploratory phase-specific 4-Hz interpolated and standardized RRI/SBP/PAT series; PAT QC exclusions applied,exploratory trivariate model; PAT includes pre-ejection period; diagnostic limitations apply,project-specific implementation using standard scientific-computing functions,analysis_54_trivariate_ptt.py::compute_trivariate_gc,exploratory_directionality_or_model_decomposition,16,16,16,16,16,16,16,3.02,3.18,3.02,3.48,3.48,3.83,0,0.01,0.706,0.877,0.255558,16,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,3.913,0.46,0.21,0.86,0.963,2.88,0.46,0.23,0.821,0.933,NA,NA,limited_estimability,exploratory_directionality_diagnostic_limitations;PAT_QC_excluded_S13_S16_all_beat_abs_PAT_lt_1e-6_ms,SI_only,exploratory_coupling_panel,not available in authoritative submitted summary or revised central reanalysis: Friedman_chi2;Friedman_p; PAT_QC_excluded_S13_S16_all_beat_abs_PAT_lt_1e-6_ms,analysis_54_trivariate_ptt.py::compute_trivariate_gc,analysis_54_trivariate_ptt.py::compute_trivariate_gc
