metric,category,definition,unit,input_signals,preprocessing,implementation_type,repository_code_module,role_in_revision,key_parameters,source_function_or_package,definition_status,n,Pre_mean,Pre_SD,Stim_mean,Stim_SD,Post_mean,Post_SD,dz_Stim_Pre,p_Stim_Pre,p_FDR_Stim_Pre,BF01_Stim_Pre,dz_Post_Pre,p_Post_Pre,p_FDR_Post_Pre,BF01_Post_Pre,dz_Post_Stim,p_Post_Stim,p_FDR_Post_Stim,Friedman_chi2,Friedman_p,Reliability_flag,retention_location,estimability_status,analysis_source,NA_reason
SDSD,Time Domain,Sample standard deviation of successive RRI differences,ms,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s09_extended_metrics.py::compute_extended_time,exploratory_panel_only,ddof=1,hrv_panel/src/s09_extended_metrics.py:compute_extended_time,CODE_VERIFIED,18,40.68,20.15,41.58,23.39,41.52,21.05,0.2,0.442,0.92,2.97,0.1,0.702,1,3.78,-0.01,0.64,0.877,0.44,0.801,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
NN50,Time Domain,Count of absolute successive RRI differences greater than 50 ms,count,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s09_extended_metrics.py::compute_extended_time,exploratory_panel_only,strict threshold >50 ms,hrv_panel/src/s09_extended_metrics.py:compute_extended_time,CODE_VERIFIED,18,65.33,56.92,67.72,62.3,69.33,61.32,0.2,0.445,0.92,3,0.14,0.981,1,3.49,0.06,0.879,0.971,0.87,0.646,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
NN20,Time Domain,Count of absolute successive RRI differences greater than 20 ms,count,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s09_extended_metrics.py::compute_extended_time,exploratory_panel_only,strict threshold >20 ms,hrv_panel/src/s09_extended_metrics.py:compute_extended_time,CODE_VERIFIED,18,188.72,56.95,188.22,64.02,194.17,58.47,-0.03,0.887,0.986,4.09,0.22,0.776,1,2.83,0.26,0.518,0.806,0.09,0.957,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
TINN,Time Domain,Width of occupied RRI histogram bins,ms,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s09_extended_metrics.py::compute_extended_time,exploratory_panel_only,bin width 7.8125 ms; simplified occupied-range implementation,hrv_panel/src/s09_extended_metrics.py:compute_extended_time,CODE_VERIFIED,18,323.35,85.42,333.33,159.75,324.22,87.79,0.11,0.776,0.953,3.73,0.01,0.647,1,4.11,-0.08,0.777,0.884,0.8,0.67,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
SI,Time Domain,"Baevsky stress index from modal RRI, modal amplitude, and RRI range",arbitrary units,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s09_extended_metrics.py::compute_extended_time,exploratory_panel_only,RRI converted to seconds; histogram bin width 7.8125 ms,hrv_panel/src/s09_extended_metrics.py:compute_extended_time,CODE_VERIFIED,18,17.65,11.18,19.94,13.88,16.58,8.46,0.32,0.325,0.92,1.84,-0.19,0.468,1,3.13,-0.39,0.167,0.476,2.78,0.249,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
MinHR,Time Domain,Minimum heart rate defined as 60000 divided by maximum RRI,beats/min,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s09_extended_metrics.py::compute_extended_time,exploratory_panel_only,native RRI in ms,hrv_panel/src/s09_extended_metrics.py:compute_extended_time,CODE_VERIFIED,18,60.67,9.74,60.55,10.77,61.11,8.85,-0.03,1,1,4.07,0.13,0.899,1,3.58,0.15,0.766,0.884,0.33,0.847,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
MaxHR,Time Domain,Maximum heart rate defined as 60000 divided by minimum RRI,beats/min,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s09_extended_metrics.py::compute_extended_time,exploratory_panel_only,native RRI in ms,hrv_panel/src/s09_extended_metrics.py:compute_extended_time,CODE_VERIFIED,18,88.2,12.98,87.86,11.93,89.61,12.43,-0.05,0.468,0.92,4.02,0.29,0.212,1,2.11,0.37,0.167,0.476,1.44,0.486,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
VLF_power,Frequency Domain,Integrated detrended RRI Welch power over 0.003-0.04 Hz,ms^2,RRI,phase-specific 4-Hz cubic-spline interpolation; Welch spectral estimation,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s02_frequency_domain.py::compute_frequency_domain,exploratory_panel_only,4-Hz cubic interpolation; Welch nperseg=256; 50% overlap,hrv_panel/src/s02_frequency_domain.py:compute_frequency_domain,CODE_VERIFIED,18,423.57,337.78,518.55,639.41,365.54,371.47,0.24,0.523,0.92,2.59,-0.22,0.899,1,2.79,-0.46,0.0539,0.399,2.33,0.311,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
LF_power,Frequency Domain,Integrated detrended RRI Welch power over 0.04-0.15 Hz,ms^2,RRI,phase-specific 4-Hz cubic-spline interpolation; Welch spectral estimation,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s02_frequency_domain.py::compute_frequency_domain,exploratory_panel_only,4-Hz cubic interpolation; Welch nperseg=256; 50% overlap,hrv_panel/src/s02_frequency_domain.py:compute_frequency_domain,CODE_VERIFIED,18,1118.43,928.53,1067.42,1192.94,1124.36,1040.67,-0.07,0.167,0.92,3.94,0.01,0.734,1,4.11,0.05,0.495,0.796,3.11,0.211,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
HF_power,Frequency Domain,Integrated detrended RRI Welch power over 0.15-0.40 Hz,ms^2,RRI,phase-specific 4-Hz cubic-spline interpolation; Welch spectral estimation,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s02_frequency_domain.py::compute_frequency_domain,representative_context_in_main,4-Hz cubic interpolation; Welch nperseg=256; 50% overlap,hrv_panel/src/s02_frequency_domain.py:compute_frequency_domain,CODE_VERIFIED,18,585.17,509.09,695.88,691.46,568.7,438.97,0.39,0.0814,0.92,1.34,-0.08,0.899,1,3.91,-0.34,0.13,0.436,3,0.223,representative_standard_HRV_context,representative_context_in_main_full_result_in_SI,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
Total_power,Frequency Domain,Integrated detrended RRI Welch power over 0.003-0.40 Hz,ms^2,RRI,phase-specific 4-Hz cubic-spline interpolation; Welch spectral estimation,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s02_frequency_domain.py::compute_frequency_domain,exploratory_panel_only,4-Hz cubic interpolation; Welch nperseg=256; 50% overlap,hrv_panel/src/s02_frequency_domain.py:compute_frequency_domain,CODE_VERIFIED,18,2466.03,1778.21,2648.69,2694.15,2376.26,1596.93,0.14,0.64,0.927,3.53,-0.07,1,1,3.96,-0.14,0.899,0.978,1,0.607,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
LF_norm,Frequency Domain,One hundred times LF power divided by LF plus HF power,%,RRI,phase-specific 4-Hz cubic-spline interpolation; Welch spectral estimation,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s02_frequency_domain.py::compute_frequency_domain,exploratory_panel_only,LF 0.04-0.15 Hz; HF 0.15-0.40 Hz,hrv_panel/src/s02_frequency_domain.py:compute_frequency_domain,CODE_VERIFIED,18,65.14,18.49,59.76,23.53,64.52,19.62,-0.57,0.0304,0.75,0.42,-0.07,0.932,1,3.97,0.34,0.0987,0.436,5.44,0.0657,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
HF_norm,Frequency Domain,One hundred times HF power divided by LF plus HF power,%,RRI,phase-specific 4-Hz cubic-spline interpolation; Welch spectral estimation,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s02_frequency_domain.py::compute_frequency_domain,exploratory_panel_only,LF 0.04-0.15 Hz; HF 0.15-0.40 Hz,hrv_panel/src/s02_frequency_domain.py:compute_frequency_domain,CODE_VERIFIED,18,34.86,18.49,40.24,23.53,35.48,19.62,0.57,0.0304,0.75,0.42,0.07,0.932,1,3.97,-0.34,0.0987,0.436,5.44,0.0657,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
LF_HF_ratio,Frequency Domain,LF power divided by HF power,dimensionless ratio,RRI,phase-specific 4-Hz cubic-spline interpolation; Welch spectral estimation,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s02_frequency_domain.py::compute_frequency_domain,exploratory_panel_only,Welch band powers,hrv_panel/src/s02_frequency_domain.py:compute_frequency_domain,CODE_VERIFIED,18,3.69,5,2.63,2.27,4.02,6.73,-0.3,0.13,0.92,2.09,0.16,0.495,1,3.39,0.26,0.284,0.544,5.44,0.0657,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
LF_peak_freq,Frequency Domain,Frequency of maximum Welch power within the LF band,Hz,RRI,phase-specific 4-Hz cubic-spline interpolation; Welch spectral estimation,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s02_frequency_domain.py::compute_frequency_domain,exploratory_panel_only,LF 0.04-0.15 Hz,hrv_panel/src/s02_frequency_domain.py:compute_frequency_domain,CODE_VERIFIED,18,0.07,0.02,0.07,0.02,0.07,0.02,-0.08,0.717,0.93,3.92,0,0.913,1,4.11,0.06,1,1,0.12,0.944,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
lnLF,Frequency Domain,Natural logarithm of LF power,natural-log ms^2,RRI,phase-specific 4-Hz cubic-spline interpolation; Welch spectral estimation,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s09_extended_metrics.py::compute_extended_frequency,exploratory_panel_only,LF power >0,hrv_panel/src/s09_extended_metrics.py:compute_extended_frequency,CODE_VERIFIED,18,6.75,0.74,6.55,0.91,6.74,0.74,-0.43,0.0814,0.92,1.07,-0,0.832,1,4.11,0.29,0.212,0.494,3.11,0.211,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
lnHF,Frequency Domain,Natural logarithm of HF power,natural-log ms^2,RRI,phase-specific 4-Hz cubic-spline interpolation; Welch spectral estimation,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s09_extended_metrics.py::compute_extended_frequency,exploratory_panel_only,HF power >0,hrv_panel/src/s09_extended_metrics.py:compute_extended_frequency,CODE_VERIFIED,18,5.97,0.95,6.07,1.05,5.99,0.91,0.31,0.141,0.92,1.96,0.08,0.932,1,3.9,-0.2,0.196,0.484,3,0.223,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
lnTP,Frequency Domain,Natural logarithm of total 0.003-0.40-Hz power,natural-log ms^2,RRI,phase-specific 4-Hz cubic-spline interpolation; Welch spectral estimation,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s09_extended_metrics.py::compute_extended_frequency,exploratory_panel_only,total power >0,hrv_panel/src/s09_extended_metrics.py:compute_extended_frequency,CODE_VERIFIED,18,7.6,0.66,7.57,0.76,7.59,0.62,-0.1,0.495,0.92,3.77,-0.03,1,1,4.09,0.03,0.966,1,1,0.607,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
LF_pct,Frequency Domain,One hundred times LF power divided by total power,%,RRI,phase-specific 4-Hz cubic-spline interpolation; Welch spectral estimation,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s09_extended_metrics.py::compute_extended_frequency,exploratory_panel_only,total band 0.003-0.40 Hz,hrv_panel/src/s09_extended_metrics.py:compute_extended_frequency,CODE_VERIFIED,18,44.5,14.09,39.65,16.6,45.13,14.47,-0.42,0.141,0.92,1.12,0.07,0.702,1,3.96,0.44,0.0898,0.436,2.11,0.348,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
HF_pct,Frequency Domain,One hundred times HF power divided by total power,%,RRI,phase-specific 4-Hz cubic-spline interpolation; Welch spectral estimation,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s09_extended_metrics.py::compute_extended_frequency,exploratory_panel_only,total band 0.003-0.40 Hz,hrv_panel/src/s09_extended_metrics.py:compute_extended_frequency,CODE_VERIFIED,18,24.43,14.9,27.59,18.08,25.85,16.83,0.46,0.13,0.92,0.88,0.19,0.766,1,3.08,-0.18,0.369,0.621,1.44,0.486,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
HF_peak_freq,Frequency Domain,Frequency of maximum Welch power within the HF band,Hz,RRI,phase-specific 4-Hz cubic-spline interpolation; Welch spectral estimation,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s09_extended_metrics.py::compute_extended_frequency,exploratory_panel_only,HF 0.15-0.40 Hz,hrv_panel/src/s09_extended_metrics.py:compute_extended_frequency,CODE_VERIFIED,18,0.24,0.07,0.25,0.07,0.24,0.08,0.19,0.924,0.986,3.12,0,0.887,1,4.11,-0.19,0.539,0.815,0.12,0.944,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
SD1,Geometric/Poincare,Poincare short-axis standard deviation,ms,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s03_geometric_poincare.py::compute_geometric_poincare,exploratory_panel_only,"SD(successive differences, ddof=1)/sqrt(2)",hrv_panel/src/s03_geometric_poincare.py:compute_geometric_poincare,CODE_VERIFIED,18,28.77,14.25,29.4,16.54,29.36,14.88,0.2,0.442,0.92,2.97,0.1,0.702,1,3.78,-0.01,0.64,0.877,0.44,0.801,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
SD2,Geometric/Poincare,Poincare long-axis standard deviation,ms,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s03_geometric_poincare.py::compute_geometric_poincare,exploratory_panel_only,sqrt(2*SDNN^2-SD1^2),hrv_panel/src/s03_geometric_poincare.py:compute_geometric_poincare,CODE_VERIFIED,18,72.21,17.9,72.32,27.79,76.88,25.08,0.01,0.61,0.92,4.11,0.25,0.265,1,2.48,0.26,0.119,0.436,5.33,0.0695,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
SD1_SD2_ratio,Geometric/Poincare,SD1 divided by SD2,dimensionless ratio,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s03_geometric_poincare.py::compute_geometric_poincare,exploratory_panel_only,native beat-to-beat RRI,hrv_panel/src/s03_geometric_poincare.py:compute_geometric_poincare,CODE_VERIFIED,18,0.39,0.13,0.4,0.16,0.39,0.19,0.19,0.61,0.92,3.08,-0,0.58,1,4.11,-0.2,0.181,0.484,2.11,0.348,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
CSI,Geometric/Poincare,Cardiac sympathetic index defined as SD2 divided by SD1,dimensionless ratio,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s03_geometric_poincare.py::compute_geometric_poincare,exploratory_panel_only,native beat-to-beat RRI,hrv_panel/src/s03_geometric_poincare.py:compute_geometric_poincare,CODE_VERIFIED,18,2.85,0.91,2.82,0.95,3,1.01,-0.06,0.932,0.986,3.99,0.24,0.369,1,2.58,0.43,0.0987,0.436,2.11,0.348,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
CVI,Geometric/Poincare,Base-10 logarithm of SD1 times SD2,log10 ms^2,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s03_geometric_poincare.py::compute_geometric_poincare,exploratory_panel_only,native beat-to-beat RRI,hrv_panel/src/s03_geometric_poincare.py:compute_geometric_poincare,CODE_VERIFIED,18,3.26,0.31,3.24,0.36,3.29,0.31,-0.15,0.523,0.92,3.4,0.22,0.304,1,2.77,0.27,0.196,0.484,4.11,0.128,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
Triangular_index,Geometric/Poincare,Number of RRI values divided by maximum RRI histogram-bin count,dimensionless ratio,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s03_geometric_poincare.py::compute_geometric_poincare,exploratory_panel_only,bin width 7.8125 ms,hrv_panel/src/s03_geometric_poincare.py:compute_geometric_poincare,CODE_VERIFIED,18,13.18,3.1,12.77,4.21,13.7,2.98,-0.16,0.468,0.92,3.33,0.19,0.393,1,3.1,0.29,0.369,0.621,1.33,0.513,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
DC,PRSA,Deceleration capacity from increasing-RRI phase-rectified signal averaging anchors,ms,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s09_extended_metrics.py::compute_prsa,exploratory_panel_only,PRSA T=5 beats; s=2 beats,hrv_panel/src/s09_extended_metrics.py:compute_prsa,CODE_VERIFIED,18,14.43,5.84,15.13,7.21,14.63,5.15,0.22,0.325,0.92,2.8,0.09,0.734,1,3.87,-0.12,0.702,0.88,0.78,0.678,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
AC,PRSA,Acceleration capacity from decreasing-RRI phase-rectified signal averaging anchors,ms,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s09_extended_metrics.py::compute_prsa,exploratory_panel_only,PRSA T=5 beats; s=2 beats,hrv_panel/src/s09_extended_metrics.py:compute_prsa,CODE_VERIFIED,18,-15.64,6.09,-16.32,6.86,-15.88,5.47,-0.33,0.229,0.92,1.77,-0.1,0.58,1,3.81,0.12,0.58,0.841,0.11,0.946,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
DCmod,PRSA,Modified deceleration capacity using local-maximum anchors,ms,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s09_extended_metrics.py::compute_prsa,exploratory_panel_only,PRSA T=5 beats; s=2 beats,hrv_panel/src/s09_extended_metrics.py:compute_prsa,CODE_VERIFIED,18,9.25,5.48,10.38,6.94,8.32,4.07,0.37,0.284,0.92,1.42,-0.33,0.212,1,1.8,-0.47,0.0385,0.355,4.78,0.0917,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
ACmod,PRSA,Modified acceleration capacity using local-minimum anchors,ms,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s09_extended_metrics.py::compute_prsa,exploratory_panel_only,PRSA T=5 beats; s=2 beats,hrv_panel/src/s09_extended_metrics.py:compute_prsa,CODE_VERIFIED,18,-11.79,6.63,-13.18,7.24,-12,5.67,-0.67,0.0139,0.75,0.22,-0.08,0.495,1,3.92,0.34,0.196,0.484,4.78,0.0917,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
SampEn,Entropy,Sample entropy of native RRI,dimensionless,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s04_entropy.py::compute_entropy,exploratory_panel_only,antropy.sample_entropy; order=2; Chebyshev metric,hrv_panel/src/s04_entropy.py:compute_entropy,CODE_VERIFIED,18,1.56,0.29,1.55,0.3,1.51,0.31,-0.04,0.899,0.986,4.06,-0.28,0.196,1,2.19,-0.28,0.141,0.436,2.33,0.311,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
